filename,axial_samples,lateral_samples,initial_radius,final_radius,initial_angle,final_angle,f0,timestamp_id,datapath,probe,scanner,target,f0_mhz,span_deg,focus_cm,v,harm
verasonics.20181112144342_channelData_part6_1.mat,2048,50,1154.057597989856,3202.057597989856,-0.16021577117916694,0.1738511559603727,7352941.176470588,20181112144342,/getlab/wjl11/study_quantitative_coherence/data/verasonics_sept2018/acq111218/s103_111218/BD_2p4_3p7_3p5_oct2018/session_20181112141930/preset1/acq3/20181112144342_channelData_part1.bin,c52v,verasonics,liver,7.4,19.140625,6.0,55.0,1
verasonics.20170524080133_channelData_part6_1.mat,1792,70,576.0513403361184,2368.0513403361183,-0.15053464798451094,0.15053464798451094,4716981.132075472,20170524080133,/getlab/wjl11/study_quantitative_coherence/data/verasonics/clinical_liver_052317/acq052417_pt5/session_20170524075755/preset1_acq3/20170524080133_channelData_part1.bin,c52v,verasonics,liver,4.7,17.25,6.0,55.0,1
verasonics.20170830104012_channelData_part18_0.mat,896,100,375.7517840284516,1271.7517840284515,-0.259181393921158,0.259181393921158,2358490.566037736,20170830104012,/getlab/fetal/clinicaldata/adaptive/data/verasonics/clinical_fetal_083017/acq083017_FS45/fetal_shallow/session_20170830103046/preset1_acq2/20170830104012_channelData_part1.bin,c52v,verasonics,fetal,2.4,29.7,6.0,2.0,0
verasonics.20170523094500_channelData_part6_1.mat,1664,70,858.7908021840271,2522.790802184027,-0.15053464798451094,0.15053464798451094,4716981.132075472,20170523094500,/getlab/wjl11/study_quantitative_coherence/data/verasonics/clinical_liver_052317/acq052317_pt7/session_20170523094338/preset2_acq1/20170523094500_channelData_part1.bin,c52v,verasonics,liver,4.7,17.25,7.0,25.0,1
verasonics.20170830090116_channelData_part5_0.mat,896,40,378.9367082901263,1274.9367082901265,-0.10210176124166832,0.10210176124166832,2358490.566037736,20170830090116,/getlab/fetal/clinicaldata/adaptive/data/verasonics/clinical_fetal_083017/acq083017_phtm/fetal_shallow/session_20170830085920/preset2_acq3/20170830090116_channelData_part1.bin,c52v,verasonics,phantom,2.4,11.7,6.0,24.0,0
verasonics.20170501112437_channelData_part1_0.mat,720,70,230.46578227344364,950.4657822734436,-0.15053464798451094,0.15053464798451094,1893939.393939394,20170501112437,/getlab/wjl11/study_quantitative_coherence/data/verasonics/acq050117/session_20170501112323/preset6_acq1/20170501112437_channelData_part41.bin,c52v,verasonics,phantom,1.9,17.25,6.0,45.0,0
verasonics.20170501121047_channelData_part38_0.mat,960,70,305.8491106248926,1265.8491106248923,-0.15053464798451094,0.15053464798451094,2016129.0322580645,20170501121047,/getlab/wjl11/study_quantitative_coherence/data/verasonics/acq050117/session_20170501120825/preset6_acq2/20170501121047_channelData_part41.bin,c52v,verasonics,phantom,2.0,17.25,6.0,5.0,0
verasonics.20170523102025_channelData_part11_1.mat,2048,70,1156.1748331818894,3204.174833181889,-0.15053464798451094,0.15053464798451094,6756756.756756757,20170523102025,/getlab/wjl11/study_quantitative_coherence/data/verasonics/clinical_liver_052317/acq052317_pt8/session_20170523101914/preset3_acq1/20170523102025_channelData_part1.bin,c52v,verasonics,liver,6.8,17.25,6.0,20.5,1
verasonics.20180827104729_channelData_part10_0.mat,1200,60,383.1941867656153,1583.1941867656153,-0.1943042331321813,0.2079396179133869,3472222.2222222225,20180827104729,/getlab/wjl11/study_quantitative_coherence/data/verasonics_sept2018/acq082718/cirs12kpa/BD_2p4_3p5_sept2018/session_20180827104612/preset1/acq1/20180827104729_channelData_part1.bin,c52v,verasonics,liver,3.5,23.046875,6.0,45.0,0
verasonics.20170917105950_channelData_part33_0.mat,896,70,287.81170708823885,1183.8117070882388,-0.15053464798451094,0.15053464798451094,2358490.566037736,20170917105950,/getlab/wjl11/study_quantitative_coherence/data/verasonics/clinical_liver_092117/acq092117_p2/liver2&3+1/session_20170917104937/preset2_acq2/20170917105950_channelData_part1.bin,c52v,verasonics,liver,2.4,17.25,6.0,2.0,0
